Index,id,Age,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,satisfaction_satisfied
28,118319,-0.23001055446046242,2,1.663226964383111,3,1,1,1,1,2,1,3,3,3,3,2,3,2,1.217322124444035,0,0,0,0
29,75460,-1.1515808545526753,0,1.2433072838392114,3,2,3,3,3,3,1,3,2,4,3,4,2,3,1.262903314102669,1,0,1,0
30,48492,-0.5597185348102248,2,-0.1300726852823337,4,4,4,4,5,5,5,5,5,4,3,1,5,5,-0.7298492686649699,0,0,0,1
31,27809,-1.6108054561551264,0,0.19760537782802987,2,2,2,3,5,2,5,5,3,1,4,2,4,5,-0.20182380703922256,0,1,0,0
32,70594,-0.29601355922855527,2,1.3732009773224227,4,5,4,4,4,4,4,3,3,4,5,4,3,4,1.978004858512052,0,0,0,1
33,30089,1.8309678573149282,0,0.3818105694383766,4,5,4,1,2,4,5,5,5,4,3,5,5,5,1.217322124444035,0,0,1,0
34,58779,-0.16397357768671336,2,0.37028783152651523,3,3,3,4,1,3,1,1,4,1,3,1,4,1,0.5717532519075998,1,1,0,0
35,79659,0.034361822134250174,0,-1.0177526813089128,1,4,4,4,1,1,1,1,3,5,3,3,3,1,-0.7298492686649699,0,0,0,0
36,110293,-0.36198434774307364,2,-0.03020491631838746,3,4,4,3,5,4,2,5,5,4,5,4,5,5,-0.7298492686649699,0,1,0,0
37,48014,0.034361822134250174,1,-0.6047775154763392,4,3,4,2,2,4,2,2,5,1,4,3,4,2,1.413053286982947,1,0,1,0
38,96517,0.4984315037334507,0,-1.121543658353524,4,4,4,3,2,4,5,4,4,4,4,4,4,4,1.413053286982947,0,0,1,1
39,64685,0.10055347219059227,2,-1.0068725196355508,1,1,1,2,1,1,1,1,3,3,4,4,4,1,-0.7298492686649699,1,1,0,0
40,64138,-0.0317896411453543,2,0.8730991732943437,4,4,4,4,3,5,5,4,4,4,4,4,4,3,-0.7298492686649699,1,0,0,1
41,60373,-0.9544920321499282,2,0.6452554186292256,3,5,3,4,3,3,3,3,4,4,5,5,5,3,0.5717532519075998,0,1,0,0
42,14849,0.10055347219059227,2,-1.1349911108875816,0,0,0,3,2,5,3,4,4,4,4,4,4,3,-0.7298492686649699,1,0,0,1
43,28319,-0.09790067170815119,2,1.489579549715323,3,3,3,3,2,1,4,5,5,5,5,2,5,4,-0.7298492686649699,0,0,0,1
44,103012,0.697767641052041,2,-0.7835084784632727,1,1,1,1,3,5,5,3,3,3,3,4,3,5,-0.5419590692304329,0,0,0,1
45,124114,-0.6914056986124645,2,-0.6455860390932057,1,1,1,1,5,5,5,5,4,2,5,5,4,5,-0.048475595037772844,1,0,0,1
46,107794,-1.1515808545526753,2,-1.0177526813089128,2,4,2,1,4,2,4,4,4,5,4,4,5,4,-0.7298492686649699,0,0,1,0
47,81983,-1.7418634741468217,2,0.7064658884967263,1,1,1,1,1,1,1,1,3,5,3,1,4,1,-0.7298492686649699,0,0,0,0
48,53164,0.9638914079286166,2,-0.48747039941282827,3,3,3,3,5,2,3,5,5,5,5,4,5,3,0.4656072091311669,1,0,0,1
49,82042,-1.2172377959228748,0,0.6470532681334429,2,2,2,3,5,2,5,5,2,3,3,1,3,5,-0.7298492686649699,1,0,1,0
50,72127,-0.7572119011563379,0,-0.27557962776158834,2,1,1,1,2,2,2,2,3,3,2,3,3,2,0.9907327016678182,1,0,0,0
51,113046,-0.8229944565168262,2,1.0969131735928912,3,3,3,3,4,4,4,4,3,4,4,4,5,4,-0.7298492686649699,1,0,0,1
52,1050,1.9646108475406683,0,-1.1059115117226301,5,5,5,5,1,2,3,5,5,5,5,4,5,2,-0.7298492686649699,0,0,0,1
53,54886,-0.29601355922855527,0,-0.20163947943130525,2,3,2,4,4,2,4,4,4,4,3,4,1,4,-0.5419590692304329,1,0,1,0
54,125918,1.363707633895261,0,-0.06396964339393955,2,2,2,3,1,3,4,4,4,2,4,4,4,4,0.6698784733221557,0,0,1,0
55,7467,0.3656786020597645,2,1.6587469191586581,2,4,2,2,4,5,5,4,4,4,4,3,4,5,1.8313408992583862,0,0,0,1
56,78972,1.1637118969859905,2,1.3196210131359156,0,0,0,1,3,4,5,5,5,5,5,4,5,5,-0.7298492686649699,0,0,0,1
57,126625,0.034361822134250174,2,-0.506070280309184,5,5,5,5,2,5,5,5,5,5,5,3,5,4,-0.7298492686649699,1,0,0,1
58,114501,-0.09790067170815119,2,-1.1081409474635733,3,3,3,3,4,3,4,4,1,1,4,2,3,4,1.7275884592268087,0,1,0,0
59,114813,-1.0859046644234112,0,-0.8122114645251268,2,4,2,1,4,2,4,4,4,2,4,5,5,4,-0.048475595037772844,1,1,0,0
60,32167,-0.0317896411453543,2,-1.3185690542539084,2,2,2,3,3,2,3,3,2,1,4,2,4,3,-0.7298492686649699,1,1,0,0
61,68001,0.8307836450921969,2,1.7063326039344138,2,2,2,2,4,4,4,4,4,4,4,4,4,3,-0.7298492686649699,0,0,0,1
62,117052,-0.9544920321499282,0,-0.42515232518172674,2,1,2,2,4,2,3,4,4,4,3,2,2,4,0.920445786341287,1,1,0,0
63,8661,0.5648504827397484,2,1.322008306261659,3,3,3,3,5,4,4,5,5,5,5,4,5,4,-0.7298492686649699,0,0,0,1
64,57165,1.2970238717682996,2,1.182485613874296,5,5,5,5,2,4,4,4,4,4,4,3,4,4,1.5903444842761043,0,0,0,1
65,78610,-0.9544920321499282,2,0.621607397084577,3,3,3,3,4,5,4,4,5,4,4,4,4,4,-0.048475595037772844,1,0,0,1
66,51058,-0.09790067170815119,0,-1.379947372399516,2,4,2,3,4,2,4,4,3,2,4,4,5,4,-0.7298492686649699,1,0,1,0
67,92027,0.4320404515277272,2,0.7149336981729153,2,2,2,2,2,4,5,5,5,5,5,5,5,4,-0.7298492686649699,1,0,0,1
68,115534,0.697767641052041,0,-1.1081409474635733,2,1,1,1,2,2,2,2,3,2,2,2,3,2,1.217322124444035,1,0,0,0
69,9261,-0.09790067170815119,1,-1.4590638937897265,4,4,4,4,4,4,4,4,3,3,1,1,4,4,-0.7298492686649699,0,0,0,1
70,61033,0.8973264600105243,2,0.692777629204184,4,4,4,4,3,4,5,5,5,5,5,4,5,5,-0.7298492686649699,0,0,0,1
71,75930,-0.6255749137523153,1,-1.3444340237327896,3,2,2,2,3,3,3,3,2,5,1,1,2,3,1.8943530899739136,1,0,0,0
72,112142,-0.0317896411453543,2,-0.012036966357455383,2,2,2,4,5,2,5,5,5,4,4,5,5,5,-0.7298492686649699,1,1,0,0
73,24518,1.7641685867713024,1,-0.6711214351148945,1,4,1,2,2,1,2,2,4,4,5,5,5,2,-0.7298492686649699,1,0,1,0
74,112524,0.3656786020597645,0,0.008936802769354591,3,5,3,2,1,3,1,1,4,4,5,3,4,1,-0.7298492686649699,1,0,1,0
75,101639,-0.9544920321499282,2,0.6298518559247916,5,1,5,4,1,5,1,1,4,2,5,4,5,1,-0.5419590692304329,0,1,0,1
76,85018,0.8307836450921969,2,0.3795156677065956,2,4,4,4,1,4,3,2,2,2,2,1,2,4,-0.7298492686649699,1,0,0,0
77,106922,1.6306162696223192,0,0.45602999470228184,4,5,4,2,2,4,2,2,4,5,3,4,4,2,1.3049385140854186,1,0,1,1
78,32564,0.697767641052041,0,-1.3185690542539084,4,0,4,4,4,4,4,4,5,2,1,4,4,4,-0.7298492686649699,0,1,0,0
79,92242,0.10055347219059227,2,0.8254605760924263,2,1,1,2,3,2,4,3,3,5,3,4,5,3,-0.7298492686649699,0,1,0,0
80,73302,-0.8887542315728034,2,1.855048981193108,1,1,1,1,4,4,4,4,4,2,5,4,4,4,1.7872363822707977,1,0,0,1
81,42267,-0.9544920321499282,0,-0.133274283254419,4,4,4,3,3,4,3,3,2,3,2,3,3,3,-0.7298492686649699,0,1,0,0
82,121358,0.2993473541333881,2,0.8254605760924263,3,3,3,4,5,3,5,5,3,2,4,2,4,5,-0.7298492686649699,0,1,0,0
83,65655,-1.2172377959228748,2,-0.06396964339393955,4,0,4,4,1,4,1,1,3,4,4,4,5,1,-0.7298492686649699,0,1,0,1
84,88062,0.4984315037334507,2,-0.8955575098555253,2,2,2,2,3,5,5,4,4,4,4,5,4,4,1.778540596834286,1,0,0,1
85,91330,-0.5597185348102248,1,-0.8997768527448387,4,4,4,4,4,4,4,4,1,2,2,4,2,4,1.1677987195822834,1,0,0,1
86,22031,1.1637118969859905,1,-0.702836314762235,3,5,3,2,3,4,5,5,5,3,5,4,5,5,-0.7298492686649699,0,0,1,0
87,27921,0.2993473541333881,0,-0.3483760233758931,3,5,3,4,5,3,2,5,4,4,5,3,5,5,-0.7298492686649699,1,0,1,0
88,51947,0.3656786020597645,2,1.5746086768070802,3,3,3,3,1,1,3,4,4,4,4,3,4,1,-0.7298492686649699,1,0,0,1
89,40017,-1.7418634741468217,0,-0.6534208453283266,2,2,2,3,3,2,3,3,3,1,3,1,4,3,-0.7298492686649699,1,1,0,0
90,76392,1.363707633895261,0,0.04141246043154405,0,5,0,3,4,0,3,4,4,5,5,4,5,4,-0.7298492686649699,1,0,1,1
91,118486,0.10055347219059227,2,-1.1170711170967162,5,5,5,3,2,5,2,2,3,4,4,4,4,2,1.6095462895482284,0,1,0,1
92,6012,-0.6255749137523153,2,0.9849834987309857,4,1,1,1,4,4,4,4,2,2,3,4,2,4,1.9405085668377189,1,0,0,0
93,30183,0.7642637550999931,1,-1.214326659523886,5,4,4,4,4,3,1,5,5,5,5,1,5,1,-0.7298492686649699,0,0,0,1
94,41652,1.4304092236853234,0,-1.0221134351063237,2,5,5,5,5,2,4,3,3,2,3,3,3,4,-0.7298492686649699,0,0,0,1
95,15138,-0.4938354635799624,0,0.19627826337753027,4,1,1,1,4,4,4,4,4,3,1,5,2,4,1.6754843225031903,0,0,0,1
96,123589,-0.0317896411453543,0,0.9011235160043227,4,5,4,5,5,4,5,5,2,2,3,3,1,5,0.9907327016678182,0,0,1,0
97,114534,-1.3484962161230953,2,-1.0330370446610269,3,1,3,2,3,3,3,3,2,1,3,1,3,3,-0.7298492686649699,1,0,1,0
98,93076,-1.6108054561551264,1,-1.1327467614534916,1,5,1,3,5,1,5,5,5,1,1,3,4,5,1.9047137244528392,0,0,1,0
99,96963,0.1667829885755603,2,-0.03020491631838746,3,3,3,3,3,3,4,3,5,2,4,3,4,3,1.3797238194283887,0,1,0,1
100,85494,-1.5452529269820323,0,-1.0549773847429875,2,5,2,1,3,2,4,3,5,4,5,4,4,3,1.7388930730683327,0,0,1,0
101,72989,-1.3484962161230953,2,1.2666870964110761,5,5,5,5,4,5,4,4,5,5,1,5,4,4,-0.7298492686649699,1,0,0,1
102,42357,-0.6914056986124645,0,-0.24673027510054352,2,5,2,2,5,2,1,5,4,2,4,3,5,5,-0.7298492686649699,0,0,1,0
103,23040,-0.8229944565168262,1,0.24585578353938206,3,3,3,3,3,3,3,3,4,1,3,3,3,3,-0.7298492686649699,0,1,0,0
104,65420,-1.1515808545526753,2,-1.2835414974110466,5,0,5,4,5,5,5,5,3,4,4,3,1,5,-0.7298492686649699,1,1,0,1
105,65045,-1.6108054561551264,0,-0.6028478349653641,3,4,3,3,4,3,4,4,1,1,4,2,1,4,-0.20182380703922256,0,0,1,0
106,37373,-1.872861302528147,0,0.10036116011140817,1,1,1,3,1,1,1,1,4,3,4,2,1,1,-0.7298492686649699,1,1,0,0
107,44405,-0.36198434774307364,0,-1.2051826307475657,4,3,4,3,5,4,5,5,2,5,2,1,4,5,-0.7298492686649699,0,0,1,0
108,16653,-0.8887542315728034,0,-0.7268301649630344,2,0,2,4,1,2,1,1,3,2,5,1,3,1,-0.7298492686649699,0,1,0,0
109,71655,-0.8887542315728034,0,0.3254008069325188,3,5,2,2,4,2,4,4,5,4,5,3,5,4,-0.7298492686649699,0,0,1,0
110,77591,0.8973264600105243,2,1.238155375908048,5,5,5,5,5,5,5,4,4,5,4,4,4,3,-0.7298492686649699,1,0,0,1
111,4585,-0.23001055446046242,2,1.5457471986970381,4,2,2,2,1,3,4,4,4,4,4,4,4,1,1.5903444842761043,1,0,0,0
112,108347,-0.4938354635799624,2,0.8846852057681904,1,5,4,5,1,1,1,1,1,1,2,4,3,1,-0.7298492686649699,1,0,0,0
113,23400,-1.2828760678960234,0,-0.7368801595078495,2,3,2,3,5,2,5,5,5,2,3,2,4,5,1.9575435494190503,1,0,1,0
114,31010,-0.29601355922855527,2,1.1271684693556865,2,2,2,2,1,5,1,4,4,4,4,5,4,4,-0.7298492686649699,0,0,0,1
115,57513,-1.6108054561551264,0,-1.2742481299668138,2,4,2,1,1,2,1,1,3,3,4,4,4,1,-0.5419590692304329,1,0,1,0
116,20979,0.8307836450921969,0,-0.3483760233758931,2,5,2,3,3,2,3,3,1,1,2,2,2,3,-0.7298492686649699,1,0,1,0
117,95841,0.3656786020597645,2,0.9557354815157718,1,1,1,1,5,5,4,2,2,2,2,5,2,5,-0.7298492686649699,1,0,0,1
118,114684,-1.0202086092434266,0,-0.9679608321009655,4,4,4,3,3,4,5,3,5,4,4,4,4,3,1.3437762116539569,0,1,0,0
119,111667,0.4320404515277272,2,1.7795385130344443,4,3,3,3,4,3,4,4,4,4,4,4,4,4,-0.048475595037772844,0,0,0,0
120,20101,-0.8887542315728034,0,-0.8745351590878229,3,0,3,3,1,3,1,1,3,5,2,3,3,1,-0.7298492686649699,1,1,0,0
121,63212,-0.7572119011563379,0,-1.0439916932118236,4,1,1,1,4,4,4,4,1,3,2,3,2,4,-0.20182380703922256,1,0,0,0
122,8256,-1.872861302528147,0,-1.0483822444438704,1,5,1,3,3,1,3,3,4,2,4,5,5,3,-0.7298492686649699,1,0,1,0
123,56161,0.3656786020597645,2,0.5974313337181141,5,5,5,5,2,5,5,4,4,4,4,3,4,5,-0.048475595037772844,1,0,0,1
124,121196,1.4971281596740271,0,1.3315036149547146,4,5,4,3,4,1,1,5,3,5,4,1,4,1,0.35098690532699,1,0,1,0
125,23788,-0.36198434774307364,2,-0.9636621266119787,3,3,3,3,4,4,1,4,4,4,4,5,4,3,-0.7298492686649699,0,0,0,1
126,129579,0.7642637550999931,2,-1.1081409474635733,2,2,2,2,4,5,5,4,4,4,4,3,4,5,1.1677987195822834,1,0,0,1
127,127516,1.230358446402986,1,-0.5569057703797609,1,4,4,4,2,3,4,2,2,1,2,2,2,4,0.9907327016678182,0,0,0,0
128,18012,-1.1515808545526753,0,-0.47636962259945553,3,5,3,2,3,3,3,3,4,5,4,5,5,3,-0.7298492686649699,1,0,1,0
129,45561,-2.069251229125417,0,0.5031862530335863,4,4,4,4,4,4,4,4,2,2,4,2,1,4,-0.7298492686649699,1,0,0,1
130,5228,-0.8887542315728034,2,-1.0133968928557464,4,4,4,3,2,4,2,2,4,5,4,4,5,2,-0.048475595037772844,1,1,0,1
131,18311,-1.1515808545526753,0,-0.6067084305240049,4,0,4,3,3,4,1,3,3,2,5,4,5,3,1.0550524307525049,0,0,1,0
132,59891,-1.2172377959228748,2,1.7178130531205391,3,1,1,1,3,2,3,3,3,3,3,1,3,3,-0.7298492686649699,0,0,0,0
133,60651,-0.5597185348102248,2,0.7867136576334386,3,2,4,2,3,3,3,3,2,2,2,3,4,3,-0.7298492686649699,1,0,0,0
134,51013,0.2993473541333881,0,-1.0682011969091914,2,0,2,2,2,3,5,1,1,2,1,2,1,5,-0.7298492686649699,0,0,1,0
135,91746,-0.8229944565168262,2,-0.53231720667282,2,2,2,2,5,5,5,5,5,2,5,3,5,5,-0.7298492686649699,1,0,0,1
136,4233,0.4984315037334507,2,0.16677456883957703,3,1,3,3,2,4,5,5,5,5,5,3,5,5,-0.7298492686649699,0,0,0,1
137,14187,-1.0202086092434266,2,1.498079140124589,3,3,3,3,3,3,3,3,4,2,2,2,2,3,-0.7298492686649699,1,0,0,0
138,19669,1.8309678573149282,2,1.394779903378747,1,1,1,1,1,3,3,1,1,1,1,1,1,1,-0.7298492686649699,1,0,0,0
139,31147,-0.4938354635799624,2,1.5507411404974178,2,2,2,2,4,4,4,4,4,1,1,3,5,4,-0.7298492686649699,1,0,0,1
140,128842,1.230358446402986,0,1.3095347562555961,4,4,4,3,4,1,1,3,3,3,4,1,3,1,1.569868175921864,0,0,1,1
141,27562,-1.807369731343213,0,0.10881609545247871,4,5,4,5,1,4,1,1,3,4,4,5,4,1,-0.7298492686649699,1,0,1,0
142,775,1.0970847955459035,2,1.3534854179313374,3,1,1,1,5,3,2,3,3,3,3,3,3,4,-0.7298492686649699,0,0,0,0
143,14070,1.230358446402986,2,-0.9701120457216377,3,5,5,1,2,3,5,1,1,5,1,3,1,3,-0.7298492686649699,0,0,1,0
144,106007,-1.0202086092434266,0,-0.1753407726510588,3,3,3,3,5,3,5,5,2,1,3,1,3,5,1.7275884592268087,1,1,0,0
145,116004,1.8977820570897124,0,-0.74292499860863,3,4,3,3,5,3,5,5,2,4,3,4,4,5,0.35098690532699,1,0,1,0
146,68886,0.4320404515277272,2,0.9103042501855698,1,1,1,1,3,5,5,5,5,5,5,5,5,3,-0.5419590692304329,1,0,0,1
147,72413,0.23304824810637165,2,0.9537118030891847,2,2,2,2,2,4,4,3,3,4,3,3,3,4,-0.7298492686649699,1,0,0,1
148,73604,1.030477750054024,2,1.7574893266259382,0,4,0,4,4,5,5,4,4,1,1,4,4,3,-0.7298492686649699,0,0,0,1
149,48415,0.9638914079286166,2,-0.09046572451925822,4,5,5,2,2,4,4,3,3,5,3,3,3,4,-0.7298492686649699,0,0,1,0
150,105708,0.1667829885755603,2,1.5723590322507484,5,5,5,5,4,4,5,2,2,2,2,5,2,3,-0.7298492686649699,0,0,0,1
151,65579,0.4984315037334507,2,1.7030289146654523,1,3,3,3,3,3,4,1,1,1,1,1,1,4,0.920445786341287,0,0,0,0
152,73058,-0.6914056986124645,2,0.1869544733880763,1,1,1,1,5,1,5,5,4,4,4,4,4,5,-0.7298492686649699,0,1,0,0
153,65585,-0.23001055446046242,0,-1.269608915669216,2,4,4,4,2,2,2,2,2,4,2,1,1,2,-0.7298492686649699,0,0,0,0
154,8346,0.697767641052041,2,1.6023258755092078,4,4,4,4,2,4,5,5,5,5,5,4,5,3,-0.7298492686649699,0,0,0,1
155,79678,-0.5597185348102248,0,-0.22657953792361932,4,2,4,4,1,4,1,1,3,4,4,4,4,1,1.1677987195822834,0,0,1,0
156,112483,-1.7418634741468217,0,-0.07639437292108336,1,4,1,4,4,1,4,4,5,2,5,4,4,4,1.9742894965723772,1,0,1,0
157,31698,-1.0202086092434266,0,-0.8122114645251268,3,4,4,4,5,4,5,5,4,4,4,2,4,5,-0.7298492686649699,1,1,0,0
158,74030,1.363707633895261,2,0.23427199038795132,2,2,2,2,4,5,1,3,3,4,3,5,3,1,-0.7298492686649699,0,0,0,1
159,124931,0.1667829885755603,0,-0.28070751525466914,2,3,2,3,5,3,4,3,3,2,3,3,3,2,-0.7298492686649699,0,0,1,0
160,73924,1.1637118969859905,2,1.3613242805575654,2,2,2,2,4,4,4,4,3,5,4,4,3,4,-0.7298492686649699,0,0,0,1
161,76073,0.1667829885755603,2,-0.31691219736963355,2,2,4,2,2,5,4,3,3,4,3,4,3,3,1.5246340384378716,0,0,0,1
162,104623,-1.2828760678960234,0,-0.06396964339393955,0,0,0,5,2,0,2,2,4,3,5,3,5,2,-0.7298492686649699,1,1,0,1
163,58523,0.7642637550999931,0,-0.29615748407944376,3,5,2,4,3,5,4,4,4,2,4,4,4,3,1.262903314102669,0,0,1,0
164,121929,0.3656786020597645,2,0.913113313344351,2,5,2,2,2,4,5,5,5,5,5,3,5,4,-0.7298492686649699,1,0,0,1
165,30704,-0.8887542315728034,1,-0.36425728846639993,5,5,5,5,5,5,5,5,1,4,5,1,3,5,0.8438074606772864,0,0,0,1
166,58896,-0.8887542315728034,0,-0.022613568944664906,2,2,2,3,5,2,5,5,4,3,3,2,4,5,1.8313408992583862,1,1,0,0
167,26920,-1.0202086092434266,0,0.8178221946444751,2,1,2,3,3,2,5,3,1,4,2,2,2,3,-0.7298492686649699,0,0,1,0
168,13884,0.6312962199425015,0,-0.5512129848166807,5,1,1,1,5,5,5,1,1,1,4,5,4,5,2.004842469812029,1,0,0,1
169,87681,-1.4796841722063308,0,-0.49861553824120736,5,1,4,1,5,5,4,5,5,1,2,5,3,5,1.0550524307525049,0,0,0,1
170,81719,-0.0317896411453543,2,0.6762941313716453,3,3,3,3,4,4,5,4,4,4,4,4,4,3,0.35098690532699,0,0,0,1
171,85554,0.6312962199425015,2,-1.0881207569081452,0,1,1,1,3,4,5,4,4,4,4,4,4,5,-0.7298492686649699,0,0,0,1
172,12645,0.5648504827397484,0,-0.09046572451925822,3,4,4,3,4,4,4,4,4,4,4,3,4,3,-0.7298492686649699,0,0,1,0
173,101275,0.8307836450921969,2,1.7923629981138531,5,5,5,5,2,4,5,4,4,4,4,5,4,5,1.4440058449418929,1,0,0,1
174,95982,-0.9544920321499282,2,1.4336512434311202,4,4,4,4,3,3,3,3,3,2,4,5,4,3,-0.7298492686649699,0,0,0,1
175,74610,-1.5452529269820323,2,0.6901916418893287,3,5,5,5,3,3,3,3,2,4,3,2,3,3,-0.7298492686649699,0,0,0,0
176,76449,1.230358446402986,2,0.8606501629855094,1,1,1,1,2,4,5,4,4,4,4,5,4,4,-0.7298492686649699,1,0,0,1
177,14030,-2.069251229125417,2,0.29244717936904935,4,3,4,3,3,4,3,3,4,5,4,4,3,3,-0.7298492686649699,1,1,0,0
178,69692,0.1667829885755603,2,0.5707779938418753,3,3,5,3,4,4,4,5,4,5,4,4,3,4,1.997649043745968,1,0,0,1
179,47648,0.8307836450921969,2,1.4421911818792288,4,1,1,1,2,4,4,4,4,3,4,2,4,4,-0.7298492686649699,0,0,0,0
180,52168,0.4984315037334507,0,-0.9722644999696465,5,3,3,3,2,1,1,5,5,5,5,3,5,4,-0.7298492686649699,0,0,0,1
181,60251,1.9646108475406683,0,0.7266780331880854,1,5,1,2,4,3,4,1,1,1,1,4,1,3,-0.5419590692304329,0,0,1,0
182,35881,0.4984315037334507,0,0.17083241228510335,2,3,3,3,5,3,3,4,4,3,1,3,4,4,-0.7298492686649699,0,0,1,0
183,28852,0.10055347219059227,2,1.75811692884223,1,1,1,1,3,5,4,4,4,4,4,5,4,2,-0.7298492686649699,0,0,0,1
184,55341,0.034361822134250174,0,0.5245123514809652,4,4,4,3,1,4,1,1,4,2,4,5,5,1,-0.7298492686649699,0,0,1,0
185,84553,1.0970847955459035,0,1.3479166408955108,1,4,1,3,3,3,1,5,5,1,5,1,5,2,-0.7298492686649699,0,0,1,0
186,100249,0.10055347219059227,2,0.2094947957955422,2,2,2,2,4,4,4,4,4,4,4,3,4,4,0.22742418129599642,1,0,0,1
187,2463,0.034361822134250174,0,-0.20494888070106765,3,4,4,4,3,3,3,3,2,5,4,4,4,3,1.0550524307525049,0,0,0,0
188,22924,-1.807369731343213,2,-0.133274283254419,2,3,2,2,1,2,1,1,1,3,5,3,2,1,-0.7298492686649699,1,0,1,0
189,25542,1.2970238717682996,0,-0.6711214351148945,4,5,3,4,1,3,1,1,5,3,4,5,4,1,-0.20182380703922256,1,0,1,1
190,115972,-1.2172377959228748,0,-0.8101532043699071,1,5,1,1,2,1,2,2,3,5,5,3,4,2,1.6604644951483765,0,0,1,0
